IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.217.149.28,2087,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,25154 kB/s
8.217.149.28,2053,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,23865 kB/s
8.217.149.28,8443,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,23747 kB/s
47.76.33.40,2053,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,23345 kB/s
8.217.149.28,2096,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,21934 kB/s
8.218.8.142,2083,TRUE,HKG,Asia Pacific,Hong Kong,55 ms,21933 kB/s
8.218.188.129,2083,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,21450 kB/s
195.245.242.232,53942,TRUE,HKG,Asia Pacific,Hong Kong,83 ms,20529 kB/s
8.218.188.129,8443,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,19857 kB/s
8.218.188.129,2096,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,19541 kB/s
8.218.188.129,2087,TRUE,HKG,Asia Pacific,Hong Kong,70 ms,18695 kB/s
118.163.128.81,17333,TRUE,KHH,Asia Pacific,Kaohsiung City,84 ms,18461 kB/s
114.214.202.60,8443,TRUE,HKG,Asia Pacific,Hong Kong,127 ms,15103 kB/s
8.218.188.129,443,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,12882 kB/s
188.42.145.194,8443,TRUE,LAX,Europe,Frankfurt,206.98,95.86
185.174.138.160,443,TRUE,LAX,Europe,Frankfurt,207.81,95.17
66.235.200.183,8443,TRUE,HKG,Europe,Frankfurt,74.2,93.63
45.194.53.193,8443,TRUE,LAX,Europe,Frankfurt,207.15,93.36
185.159.247.110,8443,TRUE,SEA,Europe,Frankfurt,205.56,91.56
79.99.30.26,2053,TRUE,LAX,Europe,Frankfurt,207.22,90.57
79.99.31.208,8443,TRUE,LAX,Europe,Frankfurt,205.34,89.65
162.120.94.142,2053,TRUE,SEA,Europe,Frankfurt,206.76,89.44
23.227.60.69,2053,TRUE,SJC,Europe,Frankfurt,207.64,88.97
194.87.59.163,2083,TRUE,LAX,Europe,Frankfurt,206.17,22.96
154.219.5.37,8443,TRUE,SEA,Europe,Frankfurt,207.82,94.19
94.242.231.0,2087,TRUE,SEA,Europe,Frankfurt,206.79,93.59
185.159.247.214,2087,TRUE,LAX,Europe,Frankfurt,207.81,91.59
185.148.104.31,2083,TRUE,LAX,Europe,Frankfurt,206.45,88.29
205.233.181.178,2096,TRUE,LAX,Europe,Frankfurt,207.89,83.76
185.18.250.130,2053,TRUE,SEA,Europe,Frankfurt,208.39,81.89
185.146.173.146,2053,TRUE,HKG,Europe,Frankfurt,69.57,61.09
45.159.216.204,2087,TRUE,SEA,Europe,Frankfurt,208.25,40.84
154.83.2.1,2096,TRUE,LAX,Europe,Frankfurt,208.21,39.53
185.146.173.146,2087,TRUE,HKG,Europe,Frankfurt,64.04,35.4
23.227.60.72,2087,TRUE,HKG,Europe,Frankfurt,71.14,21.79
185.146.173.146,2096,TRUE,HKG,Europe,Frankfurt,69.97,15.78
172.64.109.2,2083,TRUE,HKG,Europe,Frankfurt,105.35,10.38
172.64.109.2,2087,TRUE,HKG,Europe,Frankfurt,105.93,9.03
172.64.109.2,8443,TRUE,HKG,Europe,Frankfurt,107.3,6.91
172.64.109.2,2096,TRUE,HKG,Europe,Frankfurt,105.38,6.85
172.64.109.2,443,TRUE,HKG,Europe,Frankfurt,111.78,6.8
172.64.109.2,2053,TRUE,HKG,Europe,Frankfurt,103.75,6.27
23.227.60.69,2096,TRUE,HKG,Europe,Frankfurt,63.23,4.6
104.19.222.215,443,TRUE,HKG,Europe,Frankfurt,72.77,4.59
23.227.60.69,8443,TRUE,HKG,Europe,Frankfurt,71.4,3.34
185.146.173.183,2083,TRUE,HKG,Europe,Frankfurt,67.27,2.18
51.107.211.178,2053,FALSE,CPH,Europe,Copenhagen,173,2.66
51.107.211.177,2053,FALSE,CPH,Europe,Copenhagen,174,2.66
51.107.211.177,2052,FALSE,CPH,Europe,Copenhagen,174,2.65
20.226.170.152,443,FALSE,GRU,South America,São Paulo,342,2.64
51.107.211.177,2086,FALSE,CPH,Europe,Copenhagen,174,2.62
4.228.9.204,443,FALSE,GRU,South America,São Paulo,342,2.61
51.107.211.177,2095,FALSE,CPH,Europe,Copenhagen,173,2.6
51.107.211.177,2083,FALSE,CPH,Europe,Copenhagen,173,2.58
51.107.211.178,2095,FALSE,CPH,Europe,Copenhagen,173,2.57
51.107.211.177,2096,FALSE,CPH,Europe,Copenhagen,175,2.57
51.107.211.178,2096,FALSE,CPH,Europe,Copenhagen,173,2.54
51.107.211.177,2087,FALSE,CPH,Europe,Copenhagen,173,2.52
51.107.211.178,2052,FALSE,CPH,Europe,Copenhagen,173,2.51
51.107.211.178,2082,FALSE,CPH,Europe,Copenhagen,173,2.49
51.107.211.178,2083,FALSE,CPH,Europe,Copenhagen,177,2.49
51.107.211.178,2087,FALSE,CPH,Europe,Copenhagen,174,2.47
51.107.211.177,2082,FALSE,CPH,Europe,Copenhagen,176,2.45
