IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
51.107.211.178,2053,80,FALSE,CPH,Europe,Copenhagen,173,2.66
51.107.211.177,2053,80,FALSE,CPH,Europe,Copenhagen,174,2.66
51.107.211.177,2052,80,FALSE,CPH,Europe,Copenhagen,174,2.65
20.226.170.152,443,0,FALSE,GRU,South America,São Paulo,342,2.64
51.107.211.177,2086,80,FALSE,CPH,Europe,Copenhagen,174,2.62
4.228.9.204,443,0,FALSE,GRU,South America,São Paulo,342,2.61
51.107.211.177,2095,80,FALSE,CPH,Europe,Copenhagen,173,2.6
51.107.211.177,2083,80,FALSE,CPH,Europe,Copenhagen,173,2.58
51.107.211.178,2095,80,FALSE,CPH,Europe,Copenhagen,173,2.57
51.107.211.177,2096,80,FALSE,CPH,Europe,Copenhagen,175,2.57
51.107.211.178,2096,80,FALSE,CPH,Europe,Copenhagen,173,2.54
51.107.211.177,2087,80,FALSE,CPH,Europe,Copenhagen,173,2.52
51.107.211.178,2052,80,FALSE,CPH,Europe,Copenhagen,173,2.51
51.107.211.178,2082,80,FALSE,CPH,Europe,Copenhagen,173,2.49
51.107.211.178,2083,80,FALSE,CPH,Europe,Copenhagen,177,2.49
51.107.211.178,2087,80,FALSE,CPH,Europe,Copenhagen,174,2.47
51.107.211.177,2082,80,FALSE,CPH,Europe,Copenhagen,176,2.45
